"period","zone","gender","cancer","count"
"2005-2009","S01001801","All","Malignant Neoplasms",34
"1998-2002","S01001799","All","Malignant Neoplasms",20
"2001-2005","S01001799","All","Malignant Neoplasms",25
"1999-2003","S01001800","All","Malignant Neoplasms",15
"1999-2003","S01001799","All","Malignant Neoplasms",26
"2004-2008","S01001800","All","Malignant Neoplasms",18
"1997-2001","S01001800","All","Malignant Neoplasms",16
"1999-2003","S01001791","All","Malignant Neoplasms",15
"2002-2006","S01001799","All","Malignant Neoplasms",24
"2000-2004","S01001799","All","Malignant Neoplasms",23
"1998-2002","S01001796","All","Malignant Neoplasms",23
"1998-2002","S01001800","All","Malignant Neoplasms",16
"1998-2002","S01001791","All","Malignant Neoplasms",9
"1997-2001","S01001801","All","Malignant Neoplasms",19
"1997-2001","S01001791","All","Malignant Neoplasms",9
"1998-2002","S01001790","All","Malignant Neoplasms",17
"2001-2005","S01001804","All","Malignant Neoplasms",20
"2001-2005","S01001791","All","Malignant Neoplasms",13
"2005-2009","S01001791","All","Malignant Neoplasms",18
"2001-2005","S01001796","All","Malignant Neoplasms",31
"2002-2006","S01001804","All","Malignant Neoplasms",23
"1997-2001","S01001790","All","Malignant Neoplasms",14
"1997-2001","S01001804","All","Malignant Neoplasms",18
"2004-2008","S01001791","All","Malignant Neoplasms",15
"2003-2007","S01001804","All","Malignant Neoplasms",28
"2000-2004","S01001792","All","Malignant Neoplasms",24
"2004-2008","S01001803","All","Malignant Neoplasms",19
"1997-2001","S01001792","All","Malignant Neoplasms",22
"2003-2007","S01001790","All","Breast Cancer",7
"2000-2004","S01001790","All","Breast Cancer",6
"1999-2003","S01001790","All","Breast Cancer",4
"2001-2005","S01001790","All","Breast Cancer",4
"2004-2008","S01001790","All","Breast Cancer",8
